category,weight,cost
shoes,3,257.34
shoes,4,287.12
other,2,130.58
electronics,3,97.78
clothing,3,153.87
clothing,5,264.6
appliances,1,57.92
clothing,4,185.41
shoes,1,102.8
clothing,40,1832.12
electronics,2,126.26
other,2,89.3
shoes,1,59.18
clothing,7,393.19
shoes,1,324.22
clothing,38,1874.95
clothing,1,166.33
clothing,1,148.67
shoes,2,218.88
electronics,3,86.24
electronics,1,151.57
clothing,3,234.96
clothing,6,420.51
clothing,2,184.34
electronics,2,115.63
electronics,1,102.7
shoes,1,59.9
shoes,1,84.88
other,1,54.35
other,3,69.0
other,1,83.19
perfume,1,42.65
laptop,1,148.21
clothing,40,1834.09
other,2,106.64
other,3,108.45
clothing,7,408.58
laptop,2,95.3
clothing,3,252.25
other,3,112.06
other,1,141.18
other,2,135.98
other,2,123.45
clothing,3,142.75
other,2,138.72
clothing,3,263.5
appliances,1,78.07
clothing,40,1875.13
other,1,52.9
electronics,2,102.62
perfume,1,144.99
other,3,120.48
clothing,6,178.2
clothing,6,374.0
shoes,1,71.23
laptop,41,1840.46
books,42,1819.64
perfume,2,147.55
perfume,5,268.04
other,3,106.14
other,1,83.15
phone,1,51.74
clothing,4,306.52
other,1,113.37
shoes,1,97.95
shoes,2,279.01
shoes,2,64.33
clothing,7,374.48
electronics,2,69.27
electronics,2,123.44
clothing,3,169.96
other,1,129.89
other,1,85.15
appliances,1,49.82
shoes,1,208.32
clothing,42,1841.09
other,2,48.38
laptop,4,155.38
clothing,5,276.46
phone,1,313.71
phone,3,295.52
other,2,150.08
clothing,6,387.3
appliances,2,18.95
electronics,2,117.6
shoes,1,122.2
clothing,6,266.89
other,1,124.85
perfume,1,27.76
electronics,2,122.4
clothing,4,251.99
clothing,7,392.39
shoes,1,38.84
electronics,3,102.94
shoes,1,64.36
other,3,135.59
electronics,1,138.83
other,2,129.53
car parts,4,165.05
clothing,2,154.33
other,4,125.3
laptop,2,93.91
perfume,3,233.44
clothing,6,373.42
clothing,3,293.91
shoes,1,106.92
electronics,3,139.25
other,1,76.32
electronics,1,136.62
other,2,86.47
other,1,102.73
electronics,1,132.29
bag,3,324.92
shoes,3,282.16
clothing,5,205.63
perfume,1,286.65
laptop,1,99.7
laptop,1,92.79
other,1,99.73
other,4,143.51
clothing,4,296.07
clothing,2,218.79
shoes,4,270.67
shoes,1,119.39
books,2,79.72
laptop,3,152.48
electronics,1,154.65
clothing,39,1830.07
electronics,2,70.59
phone,1,136.23
electronics,2,112.38
clothing,4,257.29
other,1,127.8
clothing,40,1837.28
bag,3,298.3
appliances,1,43.09
appliances,1,79.26
electronics,2,98.51
other,2,95.9
clothing,3,181.46
other,2,42.27
books,1,257.82
phone,1,158.86
clothing,6,432.25
clothing,4,203.91
electronics,4,84.15
clothing,4,257.14
shoes,6,301.14
phone,4,200.57
books,5,275.79
electronics,1,123.96
clothing,5,255.56
shoes,1,90.3
bag,1,62.32
clothing,40,1851.92
electronics,2,148.34
electronics,1,131.06
bag,1,81.63
appliances,1,28.29
laptop,1,47.12
shoes,5,261.27
shoes,2,216.13
other,1,108.33
shoes,1,83.99
other,2,70.67
perfume,1,185.83
other,2,102.55
clothing,4,126.36
clothing,40,1802.38
clothing,3,186.67
electronics,4,69.87
electronics,3,56.6
clothing,6,365.15
shoes,3,226.55
clothing,4,258.23
clothing,3,172.67
clothing,3,196.35
other,2,101.51
electronics,2,142.89
other,2,84.65
other,2,95.02
electronics,1,117.67
shoes,4,314.4
perfume,2,137.83
electronics,2,154.37
clothing,3,290.89
other,1,149.45
other,1,138.63
clothing,39,1833.12
shoes,1,74.42
other,1,109.7
other,2,94.05
perfume,1,47.57
clothing,7,229.67
shoes,3,281.43
electronics,1,144.34
clothing,7,393.79
shoes,1,86.18
phone,40,1851.92
clothing,4,147.96
clothing,4,141.37
electronics,3,118.03
clothing,5,302.75
clothing,3,146.33
other,1,85.19
perfume,4,278.12
clothing,4,190.34
phone,40,1807.69
perfume,3,166.23
clothing,3,200.95
shoes,1,13.26
electronics,5,83.92
clothing,6,257.15
clothing,2,131.28
laptop,3,72.45
clothing,37,1832.43
other,1,123.26
other,1,139.26
perfume,3,131.4
appliances,1,74.01
clothing,1,168.01
clothing,5,435.18
other,2,162.48
appliances,1,44.05
laptop,6,411.75
other,3,66.09
shoes,1,97.24
shoes,1,56.4
laptop,4,88.51
shoes,1,106.55
other,1,148.07
clothing,2,170.32
clothing,1,184.7
clothing,40,1812.36
shoes,3,288.29
clothing,8,427.49
other,1,76.63
clothing,5,194.38
other,1,174.87
appliances,1,53.29
electronics,2,122.07
clothing,4,150.18
electronics,1,59.24
perfume,3,245.21
clothing,39,1835.97
clothing,2,182.8
perfume,4,223.71
other,3,100.6
bag,1,134.17
electronics,3,112.45
clothing,15,952.44
other,10,687.0
other,15,954.91
electronics,13,470.51
other,30,1786.99
shoes,4,390.7
laptop,7,102.22
perfume,5,421.54
clothing,10,655.74
clothing,12,742.17
clothing,35,1999.8
electronics,14,508.83
clothing,9,596.21
electronics,2,88.47
other,21,1229.43
appliances,7,455.84
clothing,11,666.86
other,18,1006.18
clothing,14,906.78
laptop,2,29.66
clothing,29,1606.73
